Date,sigma_real,sigma_pred,Lambda,Cq,Delta,gamma_t,state
2023-09-29,0.10701399,0.14824845335194883,0.07413404662386291,0.261097243389204,0.00010508222437439346,0.14732877736677463,VERDE
2023-10-02,0.10734042,0.13926016698509114,0.06439412492228679,0.22753252352456593,0.006331993083280269,0.14791378447627435,VERDE
2023-10-03,0.11319052,0.13043711736311195,0.054527517855649445,0.19964357264764024,0.012136101291538949,0.14943111809313078,CALMA
2023-10-04,0.11952534,0.11688636865991045,0.04116962210149525,0.12710123996815326,0.01269359835482288,0.1440104341590226,CALMA
2023-10-05,0.11846989,0.11339370111831049,0.03592430357717395,0.1382252311375565,0.015242861345374625,0.147424665606057,CALMA
2023-10-06,0.12791467,0.11105863713634963,0.03343774961836461,0.12878113323956067,0.013157852711238965,0.15844073301344744,CALMA
2023-10-09,0.13042182,0.11260436576976286,0.034055413327467816,0.1520476576649904,0.012660867321382793,0.15080975536589786,CALMA
2023-10-10,0.12935455,0.12334356896430705,0.045243087313480174,0.19958951874683434,0.03135240240172987,0.1425466428520739,CALMA
2023-10-11,0.12978146,0.1278578261514287,0.04857710269296357,0.2422211679314095,0.023976701906148156,0.1276218423886288,VERDE
2023-10-12,0.1308112,0.16024161516614055,0.08862766122724018,0.28110492861741654,0.049733603424340925,0.12935515121370733,VERDE
2023-10-13,0.12650628,0.1739628798839705,0.10926492419469105,0.23689786380036548,-0.04683134347261907,0.14222922528001378,VERDE
2023-10-16,0.12768523,0.1898581036141371,0.12589490655774135,0.30609085702088323,-0.05789230691371916,0.15913789841543666,AMARILLO
2023-10-17,0.12759152,0.18857852790088953,0.126662486004744,0.26567016302278845,-0.02842927563214527,0.14257579774633594,VERDE
2023-10-18,0.13486851,0.17720946233843807,0.11306516645313684,0.24435277751810366,0.0054842678031081366,0.14437567002532642,VERDE
2023-10-19,0.13421406,0.16357810414940024,0.09854040933538588,0.1893708686713364,0.004475443217274548,0.14522524174115103,CALMA
2023-10-20,0.12927793,0.14654514011224168,0.07834413122454341,0.15453757812979285,0.002170422150369014,0.16056922311795677,CALMA
2023-10-23,0.12922855,0.13512645681871224,0.06551497434269783,0.11943537098255078,0.0065191175099035825,0.15427799614958163,CALMA
2023-10-24,0.13131806,0.14405843945609847,0.07362473022248132,0.17875284124940144,0.00015177066583688115,0.15635574577051609,CALMA
2023-10-25,0.13079187,0.16743791608873027,0.09633772172612205,0.3094343010815105,0.026936578569527858,0.1654200426011926,AMARILLO
2023-10-26,0.1360299,0.1679860228823673,0.09697389621510347,0.31078230228023174,-0.022894223373211196,0.16925987792896147,AMARILLO
2023-10-27,0.13369239,0.18568697986398974,0.1199470562271605,0.3141409268468496,-0.06099998963235724,0.17969741886999296,AMARILLO
2023-10-30,0.1421611,0.19795548129896784,0.13408355584955023,0.34602228101624194,-0.04979751380872493,0.18206894801995532,AMARILLO
2023-10-31,0.14467051,0.20381290024405768,0.1421268539011704,0.3398327241468911,-0.041480785338002604,0.1605643215879819,AMARILLO
2023-11-01,0.14208686,0.1993754566800281,0.1372015022278904,0.3251951805087744,-0.020994152150914942,0.15546834593271086,AMARILLO
